R_f_c,c_tilde_c,R_f_a,c_tilde_a,c_lyte,J1,c_c_1,c_c_2,c_c_3,c_c_4,c_c_5,dV_1,dV_2,dV_3,dV_4,dV_5,error_1,error_2,error_3,error_4,error_5
7.713,0.804,6.336,0.95,0.9,10.417585441842057,0.8,0.633,0.489,0.401,0.4,-0.19999839555612606,0.19999997626579452,-0.19999992527963223,-0.0590746821908729,0.19999991859145294,0.005185474938231663,4.187080873470451e-05,0.0033617710610756384,0.0001485792344887364,0.0003744602841337985
1.803,0.804,4.632,0.945,0.884,2.726463097507612,0.8,0.8,0.612,0.454,0.4,0.05000089979333769,-0.19999960152951574,0.19999961837002286,-0.19999956206060973,0.19999979628279363,0.000703287306060628,1.613485904950108e-05,0.002199805063026977,0.0001108315334995581,0.00014144732357385855
1.542,0.948,2.633,0.907,0.803,-1.7795959984282548,0.8,0.622,0.614,0.501,0.4,-0.19999848566158107,-0.05000178886276877,0.19999892011917106,-0.19999968108862562,0.19999994175374639,0.0004206169663482912,1.302547252908494e-05,0.0015165048525784056,7.039289565884475e-05,0.00011206593006605952
7.777,0.848,8.243,0.993,0.995,11.53983882115325,0.8,0.649,0.552,0.4,0.4,-0.19999968829857362,0.1999999855423846,-0.1999987745562488,-0.11486069751211693,0.19999963140995566,0.004890390728993342,3.3476370687537126e-05,0.004747712634737038,0.00018552561870607484,0.0004311235385800755
5.139,0.955,8.704,0.802,0.862,8.993286611845251,0.8,0.715,0.474,0.473,0.4,-0.19999941547157707,0.19999973015869094,0.07068771521839538,-0.19999888766592303,0.19999981766729222,0.001148026118692461,2.6176698163737616e-05,0.0072999957824644544,0.00012489337370030404,0.0003153742741202258
8.488,0.836,0.544,0.872,0.855,0.4424895710971294,0.8,0.769,0.546,0.546,0.4,-0.1999999736785388,0.05000042969095437,-0.1999999742378117,0.19999992954546456,0.1999981970896939,0.0036860659139682354,2.7218495244708195e-05,0.0006163501193951247,4.5604690785830554e-05,4.951537740358033e-05
2.233,0.905,5.507,0.809,0.872,4.078322128496371,0.8,0.663,0.445,0.445,0.4,-0.19999884288630615,0.1999992965844438,0.07751977132762923,-0.19999880439841106,0.19999977737025193,0.0005136266175062041,1.679773137781302e-05,0.0037255637434600477,9.783290675637937e-05,0.00021739325941899068
2.947,0.906,1.915,0.814,0.957,1.6026652826784298,0.8,0.706,0.602,0.491,0.4,-0.19999976625393112,-0.0811991284238154,0.19999966881233963,-0.19999988424964837,0.19999950797800975,0.0010218586869168748,1.8866710769615587e-05,0.0015296938391280524,5.2286666776080395e-05,0.00024317287690359785
6.504,0.901,8.786,0.836,0.97,10.804716932293891,0.8,0.8,0.632,0.492,0.4,-0.19999954499953057,0.19999980050053856,0.19969662805916977,-0.19999948557699085,0.1999973156714439,0.0023931091380939816,2.7452145823170315e-05,0.006360020522341086,0.00013999776496724127,0.0004669521434314847
0.975,0.952,2.469,0.828,0.866,-2.4142159447418963,0.8,0.631,0.631,0.515,0.4,-0.199999377431001,0.1999951367384192,-0.0500004569896824,-0.19999922482798616,0.19999980380824656,0.00026130376555207584,1.1389863872325518e-05,0.0018053685256983422,5.441523463684069e-05,0.00012997503391552642
5.881,0.98,8.915,0.963,0.807,9.278817140075345,0.8,0.8,0.673,0.468,0.4,-0.19999826309033714,-0.050002095286096226,0.1999997242289617,-0.19999857474590288,0.1999998834618076,0.001744297170187233,2.7987741017391018e-05,0.008244631216387393,0.0002020241538501947,0.0003280681864309785
0.487,0.858,7.21,0.804,0.841,1.9038747665275486,0.8,0.8,0.556,0.556,0.4,0.19999971431628263,-0.19999991602300315,-0.1999999486165018,0.1996753957792212,0.1999986650692511,0.00032113461456637993,1.2262520329906632e-05,0.004027022159974127,0.0001320053999269841,0.00010193518116643833
2.085,0.896,4.205,0.972,0.834,1.909906618264265,0.8,0.617,0.495,0.4,0.4,-0.19999941346475272,0.1999956153984313,-0.19999978721997508,-0.050003167502615305,0.19999758947471166,0.0007308356903915409,1.54862700073962e-05,0.0023365167722296984,0.00010533733257885462,0.00017097439250068983
5.173,0.989,7.655,0.856,0.844,8.14880698240264,0.8,0.677,0.486,0.4,0.4,-0.19999893258664972,0.19999944366178496,-0.1999995894532989,0.07544943542624118,0.19999958598432088,0.0012113510231360185,2.642401798571453e-05,0.00728319687761674,0.00012325293730340844,0.0003393430622007112
9.6,0.94,9.999,0.844,0.872,13.950720261632583,0.8,0.743,0.742,0.492,0.4,-0.19999956307298397,0.1999996512678543,-0.08929046596641879,-0.19999999693081147,0.19999755619656365,0.004406030160468661,4.416674040207138e-05,0.009181641673038185,0.00015710411148570002,0.0006615698694570817
8.701,0.916,2.788,0.837,0.882,7.168134404574151,0.8,0.614,0.548,0.548,0.4,-0.19999934925222526,0.1999999395350096,-0.19999991356983995,-0.06381559413803803,0.19999731911526725,0.005145218975136446,3.4261236542000115e-05,0.0015329956873966696,7.027632677037423e-05,0.00028947603877622967
3.079,0.904,7.683,0.958,0.974,6.058904138962223,0.8,0.657,0.491,0.402,0.4,-0.19999895148802638,0.19999973733453963,-0.19999959723662708,0.06830974044090761,0.19999898304257704,0.00076379116723623,1.8304941475664027e-05,0.004995646607928777,0.00014919666622277214,0.0002263544295042749
4.257,0.963,7.354,0.974,0.877,6.9974417076246365,0.8,0.659,0.572,0.4,0.4,-0.19999971908219366,0.19999928029030362,-0.19999884143735883,0.19999862056956194,-0.12856515610817001,0.0013245271316458043,2.1645714721392896e-05,0.006667825628654332,0.0001723345338585582,0.0003267492569870959
7.29,0.912,1.25,0.88,0.956,2.637926914481327,0.8,0.724,0.581,0.403,0.4,-0.1999993006325451,0.05000048726927385,0.19999907318268087,-0.19999995293424072,0.19999834205725164,0.004077807942332121,2.616242213134869e-05,0.0008081283417345975,5.439187817205927e-05,0.00015075485753461592
8.638,0.857,0.733,0.953,0.891,-0.38996224766390375,0.8,0.746,0.561,0.4,0.4,-0.19999712263650127,0.0500006774368154,0.19999986459709385,-0.1999995797238223,0.1999996595713631,0.0033182784950810088,2.6447714456910984e-05,0.0005624928692473445,4.925655499556727e-05,4.70468197624798e-05
6.441,0.876,6.63,0.833,0.993,10.172629570344002,0.8,0.8,0.587,0.587,0.4,0.19999952224120032,-0.19999889284068006,-0.19999974784376134,0.19999600869091644,0.19999987489798102,0.0031946980302945977,2.7285476700052994e-05,0.004432422030582368,0.00012209068119994096,0.000483834481408021
2.861,0.992,7.703,0.997,0.842,5.811796906279384,0.751,0.751,0.483,0.401,0.4,0.19999992461984645,-0.19999852648072244,-0.19999987313224638,0.08513988444984356,0.19999995638961995,0.0007130009382206721,2.4195930056242014e-05,0.007581934225016858,0.00021018140475591874,0.00024726516323805327
8.589,0.875,5.551,0.991,0.947,9.483122792559175,0.8,0.625,0.423,0.423,0.4,-0.1999987351951037,0.19999555682011255,-0.054930763826505094,-0.19999990322206254,0.199996609346788,0.006383220812971628,3.109684629912906e-05,0.002813730978784051,0.0001400401872903143,0.000322951728725613
2.485,0.89,4.109,0.852,0.974,3.838117884212025,0.8,0.8,0.619,0.51,0.4,0.19999961502986485,-0.19999985925425412,0.19999930123645754,-0.19999994538315782,0.1999949168336365,0.0009019884933740984,1.5077953681548773e-05,0.0035228715669414004,8.092244439545657e-05,0.00034069136291787485
0.386,0.956,0.927,0.927,0.803,-8.682878748246914,0.8,0.59,0.526,0.525,0.4,-0.199999881181729,0.19999982762683902,-0.19999911699248848,-0.05004937553074558,0.19999832538771803,0.00021358011456892048,8.165528631269684e-06,0.0005963191869114325,3.9212634776924624e-05,5.751709725094239e-05
4.581,0.862,2.315,0.855,0.963,3.494496893864877,0.8,0.8,0.601,0.447,0.4,0.05000113945659123,-0.19999823325053326,0.19999948669722437,-0.1999989001307055,0.19999929222919205,0.0020813639295823375,2.1398372486674233e-05,0.0012723560004118766,6.550979603191143e-05,0.00020099106181553612
