R_f_c,c_tilde_c,R_f_a,c_tilde_a,c_lyte,J1,c_c_1,c_c_2,c_c_3,c_c_4,c_c_5,dV_1,dV_2,dV_3,dV_4,dV_5,error_1,error_2,error_3,error_4,error_5
5.488,0.943,6.028,0.909,0.885,15.523667607362409,0.8,0.8,0.692,0.499,0.499,-0.19999979582841498,0.1999999592340498,-0.15725900725020606,-0.1999991298500412,0.18630856315173952,0.21583066216405664,0.004831530978125877,0.0009425960441042372,1.9889969748550754e-05,3.881515174410849e-05
4.17,0.944,0.001,0.86,0.829,0.9157003890683604,0.8,0.8,0.696,0.502,0.474,-0.19999996994577157,-0.11622469022182425,-0.15593836746058481,-0.19999968885313674,0.19999985857757369,0.0457338060916883,0.0011627096904065965,0.00010448600566441853,4.988557376183968e-06,1.2213038247040205e-05
4.36,0.805,5.497,0.887,0.884,14.05869288680726,0.8,0.8,0.689,0.569,0.423,-0.19999708658108742,0.19999936520488504,-0.16201233847838592,0.18014274670011268,-0.1999997659135627,0.13494929065313874,0.0012408986734533426,0.0008636816053962354,2.0421921846016863e-05,3.366683846128646e-05
5.508,0.942,2.909,0.902,0.979,13.396512072833957,0.8,0.788,0.716,0.554,0.431,-0.19999795597584016,0.19999988672664268,-0.18786591453604223,0.16998747767096078,-0.19999927446433538,0.45937675968932123,0.008958540593978236,0.0005001002217571648,1.4049005402037466e-05,1.752749171633e-05
9.67,0.909,9.727,0.943,0.94,21.55583224947314,0.8,0.8,0.66,0.66,0.402,0.19999999671423763,-0.19999865054137056,0.18817459285534077,-0.17044838634368042,-0.19999983236031307,0.9470188889434624,0.00927761031950872,0.0013501367211643156,2.272747716845731e-05,3.785619877427991e-05
2.22,0.974,2.067,0.984,0.898,1.2938566790410875,0.8,0.677,0.56,0.4,0.4,-0.19999974590735425,-0.15716029770708043,0.14107140624360448,0.199999609672764,-0.19999991533763864,0.02702642337418712,0.0016696514142228195,0.0002140717838110985,7.867810816021694e-06,1.241242246363159e-05
8.929,0.866,8.212,0.808,0.822,21.32037566665597,0.8,0.688,0.619,0.48,0.4,-0.1999913418079588,-0.15171818835498663,0.16167864176009403,-0.19999963246564845,0.19999932816395458,0.4814582985083435,0.002880767992765233,0.0020243003215739516,3.364832898318328e-05,6.307110112902748e-05
0.763,0.956,4.384,0.945,0.996,3.568648186107304,0.8,0.718,0.58,0.404,0.4,-0.1999996569071449,-0.1995686984723481,0.15692509994732393,-0.19999988619344605,0.19999960303593026,0.01281291788525188,0.001809366541766294,0.0008319928642557082,2.0700867503420422e-05,1.6665610309837516e-05
8.734,0.994,8.692,0.906,0.847,19.681523957489997,0.8,0.8,0.683,0.577,0.4,-0.19999999369974392,0.19999941072255217,-0.15960595455507043,0.19234704536982794,-0.19999992158983484,0.45614833540684446,0.009225747963538259,0.0013580801403857534,2.5204417721631714e-05,4.1576447243181505e-05
0.104,0.9,4.958,0.827,0.828,-3.122943623393624,0.8,0.685,0.606,0.438,0.4,-0.1999989658838885,-0.1719277939142468,0.1499215279825741,-0.19999978633306453,0.19999964110812546,0.0003009389671837194,9.967159206723981e-05,0.0010997793484873112,2.4345735682637227e-05,4.577588745974269e-05
